"","Day","number.scan.PT","number.scan.RST","number.scan.RBM"
"980",980,21,0,21
"981",981,21,21,21
"982",982,21,12,21
"983",983,0,0,0
"984",984,0,0,0
"985",985,21,21,21
"986",986,20,21,21
"987",987,21,21,0
"988",988,21,21,21
"989",989,21,21,20
"990",990,0,0,0
"991",991,0,0,0
"992",992,19,21,21
"993",993,21,21,21
"994",994,21,0,21
"995",995,21,21,19
"996",996,21,21,21
"997",997,0,0,0
"998",998,0,0,0
"999",999,21,21,21
"1000",1000,21,21,20
"1001",1001,21,0,21
"1002",1002,21,21,21
"1003",1003,21,20,21
"1004",1004,0,0,0
"1005",1005,0,0,0
"1006",1006,18,21,20
"1007",1007,21,21,0
"1008",1008,0,0,0
"1009",1009,21,21,21
"1010",1010,19,19,19
"1011",1011,15,15,14
"1012",1012,0,0,0
"1013",1013,0,0,0
"1014",1014,0,0,0
"1015",1015,21,21,21
"1016",1016,21,21,20
"1017",1017,21,21,21
"1018",1018,0,0,0
"1019",1019,0,0,0
"1020",1020,21,8,21
"1021",1021,0,21,20
"1022",1022,21,20,20
"1023",1023,21,21,21
"1024",1024,21,21,21
"1025",1025,0,0,0
"1026",1026,0,0,0
"1027",1027,20,21,20
"1028",1028,21,21,21
"1029",1029,21,0,21
"1030",1030,21,21,21
"1031",1031,19,18,18
"1032",1032,0,0,0
"1033",1033,0,0,0
"1034",1034,21,10,20
"1035",1035,13,14,12
"1036",1036,0,0,0
"1037",1037,0,0,0
"1038",1038,0,0,0
"1039",1039,0,0,0
"1040",1040,0,0,0
"1041",1041,0,0,0
"1042",1042,20,0,19
"1043",1043,19,21,0
"1044",1044,21,21,21
"1045",1045,14,21,21
"1046",1046,0,0,0
"1047",1047,0,0,0
"1048",1048,20,21,19
"1049",1049,21,21,21
"1050",1050,0,0,0
"1051",1051,0,3,5
"1052",1052,18,17,18
"1053",1053,21,21,21
"1054",1054,0,0,0
"1055",1055,12,20,12
"1056",1056,21,16,21
"1057",1057,21,21,21
"1058",1058,18,17,18
"1059",1059,21,21,21
"1060",1060,0,0,0
"1061",1061,0,0,0
"1062",1062,20,21,21
"1063",1063,20,20,21
"1064",1064,20,20,19
"1065",1065,21,20,21
"1066",1066,21,21,21
"1067",1067,0,0,0
"1068",1068,0,0,0
"1069",1069,19,19,19
"1070",1070,21,19,20
